瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
143,措备,2020-06-01,23.6,19.9,29.1,,3,47.8
143,措备,2020-06-02,22.5,15,29.3,,1.4,41.9
143,措备,2020-06-03,24.1,17.2,31.1,,1.7,56.5
143,措备,2020-06-04,27.7,19.6,35.3,,2.1,56.5
143,措备,2020-06-05,25.9,19.8,34.6,,2.7,61
143,措备,2020-06-06,21.2,18.4,26.3,,4.4,65.9
143,措备,2020-06-07,23.5,16.2,31.3,,2.4,53.9
143,措备,2020-06-08,26.9,17.4,35.6,,1.5,46.6
143,措备,2020-06-09,28.7,21,37,,1.5,46.3
143,措备,2020-06-10,28.1,21.3,36.1,.1,1.8,54.8
143,措备,2020-06-11,25.5,20.6,31.7,29,1.5,77.4
143,措备,2020-06-12,25.6,19.7,30.9,51,1.8,79.5
143,措备,2020-06-13,24.6,19.7,29.5,10,1.3,81.5
143,措备,2020-06-14,25.5,23.1,30.5,36.5,2.5,80.9
143,措备,2020-06-15,25.9,19.9,31.8,,2.4,53.9
143,措备,2020-06-16,24.8,18.9,31.3,,2,49.9
143,措备,2020-06-17,23.3,18.3,27.7,,1.4,54.4
143,措备,2020-06-18,19.2,17.8,23.1,7.2,1.4,84.6
143,措备,2020-06-19,22,17.9,28.7,.4,2.1,70.6
143,措备,2020-06-20,23.2,20,28.8,,2.8,62.8
143,措备,2020-06-21,22.2,17.7,27.2,,3.4,64.1
143,措备,2020-06-22,25.3,16.2,33.5,,1.7,56.1
143,措备,2020-06-23,26.3,19.4,34,,1.9,53.4
143,措备,2020-06-24,22.2,20.1,24.5,2.3,2.8,75.4
143,措备,2020-06-25,23.8,20.1,26.9,.7,1.1,86.1
143,措备,2020-06-26,25.5,21.7,30.7,,2.4,60.3
143,措备,2020-06-27,26.1,20.9,31.3,,1.3,59.4
143,措备,2020-06-28,26.1,21.4,32,,2.2,59.1
143,措备,2020-06-29,22.1,19.8,26.8,42.2,3.1,82
143,措备,2020-06-30,23.5,19.3,28.2,5.9,3.2,72.6
143,措备,2020-07-01,22.2,19.1,26.3,.4,2.2,69.1
143,措备,2020-07-02,23.6,18.3,28.8,,1.8,64.1
143,措备,2020-07-03,20.7,18,22.6,5.9,2.7,73.9
143,措备,2020-07-04,21.2,17.9,24.2,0,1.4,75.8
143,措备,2020-07-05,23.7,19.8,28.6,,.9,70.1
143,措备,2020-07-06,24.1,19.9,28.1,,1.3,74.6
143,措备,2020-07-07,26.5,23.1,32.4,0,1.8,70.4
143,措备,2020-07-08,26.2,22.3,31,,2.2,64.5
143,措备,2020-07-09,24.4,20.8,29.7,0,3.6,74.3
143,措备,2020-07-10,24,21,28.4,26.2,2.2,84
143,措备,2020-07-11,25.5,21.6,31.3,,2.3,71.6
143,措备,2020-07-12,20.4,18.1,21.9,27.8,3.4,82.8
143,措备,2020-07-13,19.2,18.2,21,54.5,4.1,89.3
143,措备,2020-07-14,19.6,18.4,21.5,.8,2.4,89.6
143,措备,2020-07-15,19.2,17.5,22.9,2.4,2.6,83.8
143,措备,2020-07-16,22.2,16.8,28.8,,2.1,65.8
143,措备,2020-07-17,22.7,17.3,28.8,,2.9,65.9
143,措备,2020-07-18,22.4,16.8,27.6,,2.4,71
143,措备,2020-07-19,24.3,20.5,28,0,2.9,78.4
143,措备,2020-07-20,29.1,25.9,32.8,.9,2.3,63.4
143,措备,2020-07-21,26.9,22.8,31.8,5.9,1.6,64.9
143,措备,2020-07-22,22.5,21.5,25.1,45.6,.9,94.3
143,措备,2020-07-23,21.7,21,22.5,63.1,3.5,91.8
143,措备,2020-07-24,21.3,20.2,23,11.5,2.8,91.1
143,措备,2020-07-25,21.9,20.1,24.8,13.7,1.2,93.6
143,措备,2020-07-26,25,21.3,30.2,0,1.7,75
143,措备,2020-07-27,22.6,21.3,24.6,16.9,2.9,89.9
143,措备,2020-07-28,22.3,21.3,24.2,14.6,2.7,91.8
143,措备,2020-07-29,23.1,21.6,24.7,3.9,2,94.4
143,措备,2020-07-30,23.1,21.2,25,36,1,91.8
143,措备,2020-07-31,26.1,21.9,31.5,.4,1.2,81
143,措备,2020-08-01,27.7,23.9,34.1,.1,1.1,74.9
143,措备,2020-08-02,28.6,24.6,33.4,,1.3,69.6
143,措备,2020-08-03,29.1,25.7,33,,1.6,66.3
143,措备,2020-08-04,29.3,24.9,34.4,,1.6,66.8
143,措备,2020-08-05,28.9,25.4,33,0,1.7,68.9
143,措备,2020-08-06,28.5,25.8,31.2,9.9,2,72.6
143,措备,2020-08-07,24.6,22.5,27.1,84.7,1,93.6
143,措备,2020-08-08,23.7,22.9,25,168.2,1,96.9
143,措备,2020-08-09,28.3,23.9,33.4,.5,1.9,71.6
143,措备,2020-08-10,26.1,24.2,30.6,18.1,1.7,90.1
143,措备,2020-08-11,27.6,24.3,33.2,4.8,1.2,81.8
