
폭염일수
지점/지역명 : 부산

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2020,0,0,0,0,0,0,0,4,0,0,0,0,4,4
2021,0,0,0,0,0,0,0,3,0,0,0,0,3,5
2022,0,0,0,0,0,0,0,1,0,0,0,0,1,6
2023,0,0,0,0,0,0,1,8,0,0,0,0,9,3
2024,0,0,0,0,0,0,0,15,7,0,0,0,22,1
2025,0,0,0,0,0,0,5,9,2,0,0,0,16,2
평균,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,1.5,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2020,부산,2020-08-19,2020-08-20,2
2021,부산,2021-08-05,2021-08-07,3
2022,부산,2022-08-05,2022-08-05,1
2023,부산,2023-08-01,2023-08-08,8
2024,부산,2024-08-02,2024-08-06,5
2025,부산,2025-08-23,2025-08-24,2


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2020,부산,2020-08-17,부산,2020-08-30
2021,부산,2021-08-05,부산,2021-08-07
2022,부산,2022-08-05,부산,2022-08-05
2023,부산,2023-07-28,부산,2023-08-08
2024,부산,2024-08-02,부산,2024-09-19
2025,부산,2025-07-07,부산,2025-09-07


