
폭염일수
지점/지역명 : 대구

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2020,0,0,0,0,0,7,0,24,0,0,0,0,31,4
2021,0,0,0,0,0,2,13,8,0,0,0,0,23,6
2022,0,0,0,0,4,11,18,11,1,0,0,0,45,3
2023,0,0,0,0,1,3,9,14,0,0,0,0,27,5
2024,0,0,0,0,0,8,11,26,8,0,0,0,53,2
2025,0,0,0,0,1,7,18,23,5,0,0,0,54,1
평균,0.0,0.0,0.0,0.0,1.0,6.3,11.5,17.7,2.3,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2020,대구,2020-08-11,2020-08-21,11
2021,대구,2021-07-26,2021-08-01,7
2022,대구,2022-08-03,2022-08-08,6
2023,대구,2023-07-28,2023-08-08,12
2024,대구,2024-07-25,2024-08-13,20
2025,대구,2025-08-14,2025-08-31,18


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2020,대구,2020-06-04,대구,2020-08-30
2021,대구,2021-06-08,대구,2021-08-26
2022,대구,2022-05-24,대구,2022-09-17
2023,대구,2023-05-16,대구,2023-08-23
2024,대구,2024-06-10,대구,2024-09-19
2025,대구,2025-05-20,대구,2025-09-17


