
폭염일수
지점/지역명 : 대전

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2020,0,0,0,0,0,3,0,10,0,0,0,0,13,6
2021,0,0,0,0,0,0,16,5,0,0,0,0,21,5
2022,0,0,0,0,0,4,11,5,2,0,0,0,22,4
2023,0,0,0,0,0,3,7,15,0,0,0,0,25,3
2024,0,0,0,0,0,6,5,21,11,0,0,0,43,2
2025,0,0,0,0,0,2,21,19,2,0,0,0,44,1
평균,0.0,0.0,0.0,0.0,0.0,3.0,10.0,12.5,2.5,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2020,대전,2020-08-16,2020-08-21,6
2021,대전,2021-07-21,2021-07-31,11
2022,대전,2022-07-01,2022-07-07,7
2023,대전,2023-08-01,2023-08-08,8
2024,대전,2024-08-09,2024-08-20,12
2025,대전,2025-07-21,2025-08-02,13


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2020,대전,2020-06-09,대전,2020-08-28
2021,대전,2021-07-12,대전,2021-08-11
2022,대전,2022-06-03,대전,2022-09-18
2023,대전,2023-06-18,대전,2023-08-22
2024,대전,2024-06-12,대전,2024-09-19
2025,대전,2025-06-29,대전,2025-09-05


