
폭염일수
지점/지역명 : 광주

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2020,0,0,0,0,0,2,0,11,0,0,0,0,13,6
2021,0,0,0,0,0,0,9,5,0,0,0,0,14,5
2022,0,0,0,0,0,4,9,4,2,0,0,0,19,4
2023,0,0,0,0,0,2,6,12,0,0,0,0,20,3
2024,0,0,0,0,0,3,5,21,8,0,0,0,37,2
2025,0,0,0,0,0,3,21,16,1,0,0,0,41,1
평균,0.0,0.0,0.0,0.0,0.0,2.3,8.3,11.5,1.8,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2020,광주,2020-08-16,2020-08-21,6
2021,광주,2021-07-27,2021-07-31,5
2022,광주,2022-07-01,2022-07-03,3
2023,광주,2023-07-29,2023-08-08,11
2024,광주,2024-08-09,2024-08-17,9
2025,광주,2025-07-22,2025-08-02,12


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2020,광주,2020-06-08,광주,2020-08-30
2021,광주,2021-07-15,광주,2021-08-09
2022,광주,2022-06-03,광주,2022-09-18
2023,광주,2023-06-18,광주,2023-08-21
2024,광주,2024-06-13,광주,2024-09-19
2025,광주,2025-06-28,광주,2025-09-05


