
폭염일수
지점/지역명 : 서울

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위

2020,0,0,0,0,0,2,0,2,0,0,0,0,4,6
2021,0,0,0,0,0,0,15,3,0,0,0,0,18,4
2022,0,0,0,0,0,0,10,0,0,0,0,0,10,5
2023,0,0,0,0,0,2,6,11,0,0,0,0,19,3
2024,0,0,0,0,0,4,2,21,6,0,0,0,33,1
2025,0,0,0,0,0,3,15,9,1,0,0,0,28,2
평균,0.0,0.0,0.0,0.0,0.0,1.8,8.0,7.7,1.2,0.0,0.0,0.0


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2020,서울,2020-08-25,2020-08-26,2
2021,서울,2021-07-21,2021-07-31,11
2022,서울,2022-07-26,2022-07-30,5
2023,서울,2023-07-28,2023-08-08,12
2024,서울,2024-08-09,2024-08-20,12
2025,서울,2025-07-23,2025-08-02,11


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2020,서울,2020-06-13,서울,2020-08-26
2021,서울,2021-07-14,서울,2021-08-09
2022,서울,2022-07-02,서울,2022-07-30
2023,서울,2023-06-19,서울,2023-08-21
2024,서울,2024-06-14,서울,2024-09-18
2025,서울,2025-06-12,서울,2025-09-05


