"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"42210012","2026","5121052000","003","영금정경로당","1-103","56.23","14","0","1","N","2021-03-12 09:27:57.000","2026-05-03 00:14:12.000","","강원특별자치도 속초시 영금정로2길 3","N","4231032","N","","","128.5982848","38.2124855","","1000","1600","0900","1800","001"
"42210013","2026","5121054000","003","속초대명2차아파트경로당","625-0","20","10","2","1","N","2021-03-12 09:27:57.000","2026-05-03 00:14:12.000","","강원특별자치도 속초시 번영로67번길 25","N","4231032","N","","","128.5821121","38.2067188","","1000","1700","0900","1800","001"
"47820195","2026","4782034000","003","이서면분회","553-2","198","49","2","1","N","2021-03-19 16:06:03.000","2026-04-04 21:13:39.000","","경상북도 청도군 이서면 수야길 12 ","N","5190106","N","1105565.326817","1741493.137648","128.6663336","35.6639953","","1100","1800","1100","1800","001"
"46130246","2026","4613068500","003","외동경로당","441-4","165","80","2","1","N","2021-01-07 10:25:46.000","2025-11-07 17:21:14.000","","전라남도 여수시 대경도길 42","N","4810402","N","","","127.7219279","34.7192543","","0900","1800","0900","1800","001"
"46130247","2026","4613068500","003","소경도경로당","813-5","164","40","1","1","N","2021-01-07 10:25:46.000","2025-11-07 17:21:47.000","","전라남도 여수시 소경도1길 32","N","4810402","N","","","127.7074364","34.7075391","","0900","1800","","","001"
"27140014","2026","2714054000","004","큰고개새마을금고본점","331-7","40","10","3","1","N","2021-03-10 11:44:43.000","2026-04-28 15:05:39.000","","대구광역시 동구 신암남로 151 (신암동)","N","3420179","N","","","128.6307971","35.883045","","0900","1600","","","001"
"27140016","2026","2714054000","003","보성경로당","622","150","38","2","2","N","2021-03-10 11:44:43.000","2026-05-29 17:44:12.000","","대구광역시 동구 큰고개로 23 (보성아파트 10동)","Y","3420179","N","","","128.623868","35.88568","","1300","1700","1300","1700","001"
"45710391","2026","5271033000","003","춘수당경로당","585-16","140.21","89","3","1","N","2021-04-05 16:39:18.000","2026-05-06 15:23:50.000","","전북특별자치도 완주군 이서면이서로 63-3","N","4721023","N","","","127.0234395","35.8207013","","0900","1800","0900","1800","001"
"45710392","2026","5271033000","003","갈동경로당","99-0","101.61","43","2","1","N","2021-04-05 16:39:18.000","2026-05-06 15:23:50.000","","전북특별자치도 완주군 이서면수청갈동길 145","N","4721023","N","","","127.045081","35.8477474","","0900","1800","0900","1800","001"
"2823700114","2026","2823758100","003","화랑한마음경로당","48-29","133","20","3","2","N","2021-08-06 17:55:34.000","2026-06-01 17:33:44.000","이용시간은 주간 오전 9시부터 오후 6시까지 이용을 원칙으로 하나,  운영 및 폭염 특보 상황 등에 따라 탄력적으로 운영","인천광역시 부평구 화랑로105번길 33","","3540030","N","","","126.7027458","37.4912633","","0900","1800","","","001"
"4673063","2026","4673034000","003","하사남성경로당","69-1","346","87","0","1","N","2021-04-27 16:17:52.000","2025-05-07 14:47:18.000","","전라남도 구례군 마산면 하사3길 6 ","N","4870101","N","","","127.5064579","35.2099912","","0900","1800","","","001"
"46130140","2026","4613035000","003","여석경로당","1403-0","30","20","1","1","N","2021-01-07 10:25:46.000","2025-06-12 15:02:08.000","","전라남도 여수시 화정면여석안길 12-3","N","4810402","N","","","127.653694","34.57819","","0900","1800","","","001"
